species	FAME000007	FAME000011	FAME000001	FAME000004	FAME000016	FAME000013	FAME000014	FAME000009	FAME000010	FAME000023	FAME000012	FAME000022	FAME000017	FAME000018	FAME000015	FAME000002	FAME000020	FAME000006	FAME000005	FAME000019	FAME000008	FAME000003
Phage Gifsy-1	0.07089097365770923	8.133104057257052e-05	7.49764977516663e-05	5.804672761573066e-05	0.00027048436020788656	0.00022331004248767386	0.00018775287965979177	0.0001405218042999672	0.0002292347207243817		9.954706087302772e-05	0.000431238584860989		0.00014731645166427777	0.00024409154868908483	3.0082425846820288e-05	0.00017042465377861097	4.821577523734215e-06	0.0003121273106738223	6.586096749761254e-05	7.833383923937843e-05	0.00018810472730692814
Salmonella phage SEN22	4.770233741453332e-05		6.536412624504242e-05		0.00038640622886840936	0.000229186622553139	0.00023938492156623452		0.0002031853206420656			0.0003466819995941284	0.0556461106583356	0.00016722408026755852			0.0002667516320013041		0.00017702742993440666		0.00011750075885906764	0.0002704005455037092
Salmonella phage SSU5	0.002130704404515821	4.6474880327183155e-05	0.0034854459083018207	0.000174140182847192	0.020247686392704647	0.00898529092009614	0.010706607962599625	0.00018736240573328963	0.009992549871576457	1.9904854794084275e-05	0.0606739336021104	0.008531759453426234	6.791632708503125e-05	0.00797499601847428	8.614995836085348e-05	7.520606461705072e-05	0.01746482212852983	2.4107887618671077e-05	0.018536635360763266	9.879145124641881e-05	0.00446502883664457	0.01772887054867798
Salmonella virus SEN34	0.001107754279959718	0.07185016498582515	0.0008305088981723037	0.00014511681903932666	0.007911667536080682	0.005565121321995452	0.005158510368652779	0.0001405218042999672	0.0052255096565126105	1.9904854794084275e-05	0.00014932059130954157	0.006527768382601637	4.527755139002083e-05	0.004459308807134894	1.4358326393475577e-05	0.0053697130136574215	0.007054098712923376	0.02936340711954137	0.004607371794871795		0.002301056527656741	0.00734784091042688
Shigella phage SfIV	0.001537075316690518	0.00010456848073616212	0.0003152857854172634	0.0024960092874764185	0.0034969763712591044	0.0011929457532894156	0.0028069055509138876	0.0002810436085999344	0.0012347415639017833	1.9904854794084275e-05	4.977353043651386e-05	0.0019786240952445375	2.2638775695010414e-05	0.0019589106545628283	1.4358326393475577e-05	0.2739155285482221	0.002771253065791326	0.0027000834132911607	0.0019705948121645795	0.0016135937036915072	0.0006723654534713315	0.009052540001645917
Shigella phage SfX	5.300259712725923e-05		5.3829280437093756e-05		0.0004250468517552503	0.00017042082189848797	0.00011265172779587508		0.00016150628051035985	1.9904854794084275e-05		0.0002029358046404654	0.06198496785293852	0.00012740882306099699	1.4358326393475577e-05		0.0004816348911134657		0.0002608825283243888	6.586096749761254e-05	7.180601930276355e-05	0.00021161781822029413
unclassified Asteriusvirus species	0.03215667567710818	0.00015104336106334528	0.029102415973454473	0.0004643738209258453	9.660155721710235e-06	0.002650337609524761	0.002238953089943017	0.0005152466157665465	0.07899220080961536		0.0005972823652381663	5.918960968680241e-05		3.981525720656156e-06		0.00018049455508092172	3.7048837777958906e-05	6.750208533227902e-05	0.0004938133571854502	6.586096749761254e-05	0.030014916068555168	0.00010580890911014707
unclassified Carltongylesvirus species	0.007393862299252664	1.1618720081795789e-05	0.00028452619659606696		0.00013524218010394328	0.00020568030229127857	0.00032856753940463564	4.684060143332241e-05	8.856796027987475e-05	5.9714564382252824e-05		0.0016911317053372116	4.527755139002083e-05	5.972288580984233e-05	2.8716652786951153e-05	3.0082425846820288e-05	0.05016412635135636		0.00023293082886106142	0.0019099680574307637	0.0022292505083539777	1.1756545456683009e-05
unclassified Chaseviridae species	0.012031589547887847		0.0003902622831689297	2.902336380786533e-05	9.660155721710235e-06	7.051896078558123e-05	0.0004975451310984482	4.684060143332241e-05		3.980970958816855e-05		0.0002621254143272678	6.791632708503125e-05	7.963051441312312e-06		1.5041212923410144e-05	0.06852553035411278	4.821577523734215e-06	9.317233154442456e-05	6.586096749761254e-05	0.002891824231920387	1.1756545456683009e-05
unclassified Derbicusvirus species	0.0005406264906980443	0.0009643537667890505	0.08158596439962089	0.0005804672761573066	0.00015456249154736375	0.0008756104297543002	0.0015254921472358082	0.0007962902243664809	0.0019224457260749285	0.00039809709588168555	0.005325767756706983	0.015397754177095314	0.0001811102055600833	0.06761028826246218	0.0011343077850845707	0.0003008242584682029	0.002334076780011411	0.00013018259314082382	0.006470818425760286	0.0009220535449665755	0.004908920592334381	0.0003644529091571733
unclassified Lederbergvirus species	0.0003127153230508295		0.00029221609380136607	5.804672761573066e-05	0.0036805193299715992	0.0016983316389194145	0.002285891309857965		0.0017140505254163996	1.9904854794084275e-05		0.002046269363458026	0.1193516254640949	0.0017598343685300208	5.7433305573902306e-05	0.02433668251007761	0.0028601702764584273	0.000896813419414564	0.001695736434108527	6.586096749761254e-05	0.0009073669711894667	0.002739275091407141
unclassified Myoviridae species	0.11238670694864047	0.015266998187479668	0.041087120767913134	0.005543462487302278	0.037104658127089005	0.07620749028895143	0.06742205908583122	0.0008899714272331256	0.04183533653219967	0.0003383825314994327	0.09680951669901945	0.03531928566596767	0.0046635877931721454	0.026405478579391625	0.034775866524997846	0.029947054930509597	0.02841645857569448	0.014898674548338726	0.035065406976744186	0.0015148022524450883	0.11330989845976087	0.04246464218953903
unclassified Phapecoctavirus species	0.03963534213176446	0.00020913696147232424	0.04775233917060613	0.0004933971847337107	0.00018354295871249443	0.029553321149223998	4.693821991494795e-06	0.0007962902243664809	0.00011982724037865408	1.9904854794084275e-05	0.00029864118261908315	0.003931881214909017	0.0001584714298650729	2.3889154323936935e-05	1.4358326393475577e-05	0.0003008242584682029	3.7048837777958906e-05	0.00010125312799841852	0.05817214519976148	9.879145124641881e-05	0.021832293778008428	0.00043499218189727126
unclassified Seongnamvirus species	0.0007579371389198071	1.1618720081795789e-05	0.0007689897205299108	0.00011609345523146132	0.010007921327691802	0.003349650637315108	0.0043136224101837164	9.368120286664482e-05	0.0030269402895651315	1.9904854794084275e-05	0.05499975113234781	0.004777447067577623	2.2638775695010414e-05	0.004172638955247651	5.7433305573902306e-05	0.019042175561037242	0.005512867061360285	4.821577523734215e-06	0.0020311568276684556		0.0014165369262454264	0.005478550182814282
unclassified Siphoviridae species	0.0809667673716012	0.053829530138959886	0.029398477015858487	0.050442606298069945	0.09387739330358005	0.09908501648380709	0.09041709302216423	0.013021687198463628	0.08185763481867012	0.13953303210653079	0.04887760688865662	0.09836467564093893	0.0488997555012225	0.04589106545628285	0.2516583866984464	0.0167559111966789	0.08031447053505932	0.1153417775227699	0.10471638342277878	0.0016135937036915072	0.0422382588998665	0.1057971525646904
uncultured Caudovirales phage	0.00499284464938782	0.0022075568155412	0.0020532025538148617	0.00130605137135394	0.017591143569234337	0.022783500913808197	0.01494043539892793	0.00018736240573328963	0.0166299370125506	0.0061705049861661265	9.954706087302772e-05	0.020623351146587296	0.003169428597301458	0.009623347666825927	0.019986790339718	0.08729919980747247	0.009795712708492334	0.06807585305760339	0.010500521765056649	9.879145124641881e-05	0.006345040978389652	0.013096791638744871
