Contig	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
contig_15601	151.0	243.5	581.5	774.3	319.9	116.2	62.22	234.1	403.0	245.8	270.9	0.8131	209.0	299.8	319.1	303.3	633.7	272.2	628.0	301.0	242.8	408.0
contig_15605	346.4	1017.0	1182.0	1440.0	672.8	739.4	129.8	495.3	685.0	566.6	1046.0	390.5	501.6	663.4	538.8	698.0	1113.0	647.8	1795.0	671.0	561.1	626.9
contig_15608	180.6	361.2	628.9	769.4	378.4	109.7	66.11	260.0	362.4	255.0	460.8	21.76	213.8	319.3	154.4	331.4	655.1	296.8	589.1	347.3	283.8	351.2
contig_15702	14.63	0.0	64.83	0.2367	20.89	0.1998	2.927	27.55	0.1194	34.24	0.0	0.0	32.33	33.71	0.0	36.58	0.0	41.32	0.1733	62.97	33.96	0.3128
contig_15731	187.5	6.608	622.4	0.4861	476.0	1.539	41.43	573.0	0.4903	574.3	0.6446	0.7724	490.8	662.1	1.125	387.3	2.45	312.3	1.601	462.6	397.4	1.07
contig_15747	37.34	468.0	67.31	1.139	104.3	0.1202	6.784	89.79	0.1435	100.4	2.642	0.0	72.2	91.33	0.3514	79.89	0.2391	60.5	0.0	64.66	61.0	8.776
contig_15758	340.8	15.2	309.9	3.522	812.3	13.67	74.28	547.6	0.8021	940.3	2.938	0.9628	545.6	476.3	0.7012	347.4	3.054	422.3	1.331	268.2	597.0	2.902
contig_15890	35.7	169.8	115.7	0.177	72.57	35.68	4.1	59.34	0.1339	57.38	14.15	0.4689	81.51	77.32	22.84	194.8	0.7436	136.5	242.1	184.4	94.9	0.156
contig_16103	3.855	0.8771	11.28	0.0	5.054	0.0	0.09068	7.213	0.0	4.703	0.0	0.0	7.365	31.93	0.0	13.23	0.0	10.04	0.0	10.92	8.839	0.0
contig_16144	10.13	0.0	72.51	0.0	44.31	0.0	0.447	21.79	0.0	14.2	0.0	0.5743	16.83	16.36	0.0	20.31	0.0	13.79	0.0	28.22	15.58	0.0
