#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out
N4962	6	0	2	0	11	0	11	20	0	40	1	0	57	35	1	20	0	46	0	16	28	0
N4963	1	0	3	0	8	8	3	21	0	25	0	0	47	14	5	18	0	12	0	13	21	0
N4964	0	0	0	0	0	0	0	9	0	0	0	0	4	2	2	10	0	0	0	0	23	0
N4965	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
N4973	1	0	0	0	3	0	1	0	0	2	0	0	0	2	0	2	0	0	0	1	2	0
N4975	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
N4976	53	0	8	0	39	0	93	48	0	43	0	0	65	42	0	53	0	70	0	64	61	0
N4982	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
N4986	2	0	5	1	5	0	2	0	0	5	0	0	2	2	0	3	0	1	0	2	11	0
N4987	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	2	2	3	4	0
N4990	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
N4991	5	0	9	0	17	0	1	7	0	12	0	0	3	8	0	6	0	5	0	7	9	0
N4992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
N4996	53	0	7	0	78	0	18	126	0	141	0	0	233	159	0	11	0	26	0	10	97	2
N4998	172	2	51	0	174	0	116	372	0	319	0	0	345	266	1	432	0	370	0	381	377	0
N5003	40	0	21	0	32	2	26	58	0	61	0	2	88	55	38	131	2	133	0	113	85	0
